category,pair_id,drawing_key_id_1,drawing_key_id_2,ci_lower,ci_upper,mean,n,haus_bin,haus_sim,mahalanobis,euclidean,avg_haus
bird,1,4508815351349248,4626484167704576,2.7,5,3.9,10,1,54.0832691319598,1.8211920457184165,125.93567339193298,20.149506504304675
bird,2,4518781705519104,5550713901940736,2.8333333333333335,5.833333333333333,4.166666666666667,6,3,74.8865809073962,1.8382004068274524,119.70147294204524,28.63303236196052
bird,3,4525720040636416,6062590906073088,5.2727272727272725,7,6.363636363636363,11,9,137.207871494313,2.057589357935291,122.99827585255586,65.0843185299664
bird,4,4528306198151168,5847424771817472,3.1538461538461537,4.769230769230769,3.923076923076923,13,7,111.722871427475,1.8744400924764821,118.53348611159025,35.51563220207129
bird,5,4536691668811776,5838207721668608,5,7,6.3,10,10,179.270744964146,2.0327669362575778,143.62410662278256,84.89141249571685
bird,6,4540473236520960,6098115943727104,4.6,6.4,5.5,10,4,82.5651258098721,1.7879113977620265,123.13143452754872,30.543106311751806
bird,7,4564712840757248,5624840272740352,4,6.333333333333333,5.222222222222222,9,8,116.275534829989,1.876715614324323,124.23731511394445,46.81208900007156
bird,8,4565444679696384,4693077669183488,2.7142857142857144,4.428571428571429,3.4285714285714284,7,7,114.017542509914,1.90879226467535,129.7425038558868,50.1272614337226
bird,9,4568587605901312,4973196962955264,5.397500000000003,6.9,6.2,10,5,94.0212741883453,1.8545864848259979,122.97548452533708,27.04393537000782
bird,10,4568587605901312,6719009951055872,3.4166666666666665,4.583333333333333,4,12,4,79.6115569499806,1.8540239707381245,116.95450120522081,21.875560749512406
bird,11,4571054078951424,6373908120862720,6.7,7,6.9,10,10,166.355042003541,1.852865625730859,119.5764147248936,45.72795611525492
bird,12,4576070600753152,5250999742627840,3.4,6.2,4.8,5,8,121.823643025482,1.8932569226364349,128.64648355653847,28.955665878980195
bird,13,4601434207158272,5148642769895424,4.5,7,5.833333333333333,6,5,90.8019823572151,1.8541903135962299,131.97817916835135,41.545342087807455
bird,14,4602159888859136,6048669440671744,3.25,6.5,5,8,8,115.602768132947,1.8281605001819146,119.05268033933987,44.03070140202844
bird,15,4604032595263488,6253704971812864,6.1,7,6.6,10,10,218.552053296234,2.074967045113393,145.61778540103293,87.11049787437842
bird,16,4615466603511808,6736146065260544,5.333333333333333,6.833333333333333,6.166666666666667,6,2,69.2603782836912,1.8805529214162127,122.04357949849967,22.387408304769945
bird,17,4617756894822400,4905695126224896,2.727272727272727,3.6363636363636362,3.272727272727273,11,8,122.588743365776,1.8587767374973354,125.66963071510608,35.518613775976256
bird,18,4617756894822400,6124344382062592,3.727272727272727,5,4.363636363636363,11,4,83.0060238777885,1.8216966038116473,129.87574890707347,27.627198231106192
bird,19,4620777045360640,6551907101310976,4.8,6.4,5.7,10,2,67.7790528113222,1.8183272286628218,112.46270704319647,26.050908030138345
bird,20,4625798604521472,6732370201804800,4.3,6,5.1,10,1,55.4616984954482,1.7960388301235823,121.09847260305803,23.452102826438555
bird,21,4627167738593280,5919779841900544,2.4285714285714284,4,3.142857142857143,7,4,81.2157620169878,1.8357008554425571,122.20266913917466,29.196734605784453
bird,22,4632501198782464,5257088232062976,3.54318181818182,5.818181818181818,4.7272727272727275,11,10,153.169840373358,1.8608913078411142,124.38587460413927,44.96071317391496
bird,23,4633869179420672,6685671492157440,5.916666666666667,6.916666666666667,6.416666666666667,12,5,95.2732911156112,1.9263835436555605,120.98654726318931,38.257749245947316
bird,24,4643134648614912,6245629829316608,3.6363636363636362,5.2727272727272725,4.454545454545454,11,7,110.941425986869,1.8642368338405428,123.32677884931785,28.917982980993195
bird,25,4645230777204736,5323349506916352,3.8,6,5,10,2,69.2603782836912,1.8573359890047747,122.50162499769812,26.916230626200853
bird,26,4649242549288960,6616379044134912,5.090909090909091,7,6.181818181818182,11,9,145.013792447477,2.0948485112492863,123.68312496065026,44.935827005653685
bird,27,4655704222728192,5178806358769664,5,6.333333333333333,5.666666666666667,9,6,103.121287811974,1.8673132654091797,133.16108162559993,47.71091996038099
bird,28,4668420731699200,6462860437749760,7,7,7,11,10,183.002732220041,1.9453031750877952,137.61344984881177,79.14402109758115
bird,29,4676411304443904,4725645802209280,3.2,5.102499999999997,4.2,10,4,80.2122185206219,1.8853324475192832,118.94876831539625,27.511085189202067
bird,30,4678616799510528,6291681039089664,4.6,6.8,5.9,10,5,88.5268320906153,1.9437249986301726,109.70237453397226,29.72068579752132
bird,31,4692163931668480,5578704505798656,4.636363636363637,6.454545454545454,5.636363636363637,11,9,137.767920794356,1.9134768276308614,116.08686618177437,38.50216341173955
bird,32,4696492369510400,5583150031831040,4.2727272727272725,5.7272727272727275,5,11,2,65.7343137181792,1.8051452729106647,107.91508523704124,19.633091889571634
bird,33,4696492369510400,6176610644393984,3.4,4.5,3.9,10,2,69.8355210476732,1.8255816733740944,102.46625787589959,22.46190115783343
bird,34,4698637437239296,5249404300689408,4.25,6.666666666666667,5.583333333333333,12,1,59.9332962550868,1.8086896591133046,106.06756034543002,19.25336740595885
bird,35,4700555865751552,4953352334999552,3.75,5.375,4.625,8,8,121.757956618859,1.8070971533312006,123.66559648033258,30.389501198243348
bird,36,4716273428594688,5268859663679488,6.545454545454546,7,6.818181818181818,11,3,74.1687265631546,1.8629229093433517,141.17216318046343,32.29078959152787
bird,37,4719285412823040,6452880712138752,4.4,6.2,5.2,5,1,58.5234995535981,1.8184565781730297,127.13689562412797,23.67516868170355
bird,38,4732467871219712,6569903953805312,6.222222222222222,6.888888888888889,6.555555555555555,9,10,167.764716195033,1.9801097157925236,124.65635886366145,58.10848772048153
bird,39,4739483431862272,4952532264681472,3,5.378124999999997,4.25,8,1,49.9799959983992,1.802123986094002,102.01158395506702,18.246942696022636
bird,40,4742654225022976,6633124245012480,4.181818181818182,5.909090909090909,5,11,7,111.220501707194,1.8216041774082272,123.27330285321331,32.95729375428043
bird,41,4743732798685184,4946869484519424,5.8,7,6.5,10,2,66.2419806467168,1.9145482599679358,98.55124517955574,27.083099652421794
bird,42,4757499527823360,6690718754013184,4.181818181818182,5.090909090909091,4.636363636363637,11,6,98.0051019080129,1.8393662420961254,112.69430041608994,26.638805443974093
bird,43,4757602405711872,5801329840619520,6.5,7,6.833333333333333,6,7,112.361025271221,1.938207603420875,111.59564693873169,32.24531167814889
bird,44,4758663396851712,5175747620634624,5,7,6.3,10,4,85.8661749468322,1.8317382965312259,104.67996510188333,23.290528623503878
bird,45,4759993360318464,5697299055378432,4.1795454545454565,6.909090909090909,5.7272727272727275,11,8,122.494897852931,1.892880953813072,125.7059464339684,52.030493493736316
bird,46,4767462761431040,6631457260830720,4.916666666666667,6.166666666666667,5.583333333333333,12,5,90.9725233243533,1.805980762757954,127.91781068544395,25.387690488326765
bird,47,4768870520848384,5190572522340352,2.375,3.503124999999997,3,8,7,105.394497010043,1.895906822843804,107.58984474744254,29.7795632937102
bird,48,4770171174518784,5533859514941440,3.125,5.25,4.125,8,6,97.1287804927046,1.8750986218791363,118.61120236897065,32.50198200458548
bird,49,4790994266488832,5676429758955520,4.333333333333333,5.733333333333333,5.066666666666666,15,1,55.0817574156816,1.916754135355603,98.50613542398894,23.778976821846904
bird,50,4791132108095488,6026938298662912,4.428571428571429,7,6.142857142857143,7,10,212.614674940372,2.0456177886315077,168.969502342713,105.40324537252545
bird,51,4795337875128320,5540883376111616,3.25,5.753124999999997,4.625,8,9,134.461890511773,1.8911050340625604,126.76749288753204,41.2952182482589
bird,52,4798836927102976,6042239824297984,5.076923076923077,6.615384615384615,5.923076923076923,13,5,89.4538987411952,1.973639616286706,112.17863495465011,37.35638375864955
bird,53,4804424142684160,6499303247839232,3,4.090909090909091,3.5454545454545454,11,8,119.507321951419,1.9951241115726126,131.50452743231716,47.84921944491342
bird,54,4812745574711296,5514171313553408,1.5,4,3,4,1,60.9015599143405,1.7821759294653314,118.41963777318512,22.447048149598363
bird,55,4817962420666368,6228208905093120,5.25,6.583333333333333,6,12,5,90.3548559846121,1.890810633340389,124.4060601736235,30.192017845922734
bird,56,4825660138717184,6480810846715904,5.459615384615387,7,6.384615384615385,13,7,113.145923479372,1.813479945096559,97.31088665587353,37.90717081095724
bird,57,4843682161229824,5494366346936320,3,4.833333333333333,4,6,6,102.122475488993,1.7611170233142932,121.66951709445415,36.30794045094049
bird,58,4859861303033856,6247620295000064,3.5,5.5,4.625,8,5,92.0489000477464,1.820979434358908,120.99086027944142,31.828104517859668
bird,59,4866186762256384,5829694324736000,5.777777777777778,6.777777777777778,6.333333333333333,9,7,108.811764069884,1.799587767868339,106.91235485012395,25.807844473071707
