"","pair_id","category","drawing_key_id_1","drawing_key_id_2","ci_lower_human","ci_upper_human","human_rating_mean","n_participants","hausdorff"
"1",1,"bread",4512057078579200,5301208245862400,6.33333333333333,7,6.66666666666667,9,100.801785698469
"2",2,"bread",4512177153114112,6334400226656256,1.66666666666667,3.66666666666667,2.5,6,35.1140997321589
"3",3,"bread",4517415574568960,5171456952500224,1,1.75,1.375,8,52.2015325445527
"4",4,"bread",4553981596532736,5760679489306624,5.08333333333333,6.66666666666667,5.91666666666667,12,96.1353212924365
"5",5,"bread",4561961628991488,5215576467177472,3.63636363636364,5.27272727272727,4.45454545454545,11,127.757582945201
"6",6,"bread",4588376130846720,5275074091286528,7,7,7,5,90.3548559846121
"7",7,"bread",4603484299067392,5826439611940864,1.44444444444444,2.22222222222222,1.77777777777778,9,74.027022093287
"8",8,"bread",4603484299067392,6456419710664704,4.11111111111111,6.33333333333333,5.22222222222222,9,72.4982758415674
"9",9,"bread",4623583877791744,4601234612813824,4.7,6.3,5.5,10,99.6242942258564
"10",10,"bread",4653333350449152,6697488574578688,3.30576923076923,5.07692307692308,4.23076923076923,13,110.113577727726
"11",11,"bread",4656048642195456,6303531139072000,2.25,4.08333333333333,3.08333333333333,12,67.0671305484289
"12",12,"bread",4673896848556032,4988894737072128,2.27272727272727,4.63636363636364,3.36363636363636,11,43.1856457633784
"13",13,"bread",4674210850930688,6019556508172288,5.2,7,6.2,10,92.0217365626187
"14",14,"bread",4683017245163520,6471038269390848,6,7,6.5,10,98.1835016690686
"15",15,"bread",4693938105483264,6617681694294016,6.5,7,6.75,8,197.428468058687
"16",16,"bread",4696621705068544,5690227727269888,3.425,5.43214285714285,4.42857142857143,7,80
"17",17,"bread",4705301078999040,4803424270942208,2.18181818181818,3.45454545454545,2.81818181818182,11,78.390050389064
"18",18,"bread",4705301078999040,5087658025943040,5.44444444444444,6.77777777777778,6.22222222222222,9,133.003759345366
"19",19,"bread",4706969170477056,6679387804008448,3.22222222222222,5.33333333333333,4.22222222222222,9,58.0344725141876
"20",20,"bread",4712557224919040,5830382022819840,5,6.875,6.125,8,104.484448603608
"21",21,"bread",4762845570924544,4813886261821440,3.44444444444444,5.77777777777778,4.55555555555556,9,165.469030334984
"22",22,"bread",4774223929147392,6438204339126272,3.22222222222222,4.88888888888889,4,9,79.2085853932514
"23",23,"bread",4801654475980800,6291120428417024,2.61538461538462,4.00192307692308,3.23076923076923,13,77.4144689318476
"24",24,"bread",4806635111317504,4685170688917504,4.85714285714286,7,6,7,48.8262224629348
"25",25,"bread",4808817424465920,5883436562644992,4.75,6.75,5.875,8,159.154013458662
"26",26,"bread",4823807099404288,6706496714833920,3.8,5.53333333333333,4.73333333333333,15,75.3923072998831
"27",27,"bread",4835178172121088,6368627156582400,4.71428571428571,6.14285714285714,5.42857142857143,7,166.192659284338
"28",28,"bread",4871156911833088,6133755125170176,2.66666666666667,4.16666666666667,3.33333333333333,6,152.453271529344
"29",29,"bread",4883190625861632,4906501724438528,4.21944444444445,6.77777777777778,5.55555555555556,9,175.524927004685
"30",30,"bread",4925687158800384,6100771890266112,1.66666666666667,5,3.16666666666667,6,55.1543289325507
"31",31,"bread",4936112269164544,4755338572070912,4.15384615384615,6.38461538461539,5.30769230769231,13,78.8923316932641
"32",32,"bread",4937218844000256,6314443111661568,3,5.18181818181818,4.09090909090909,11,55.1724568965349
"33",33,"bread",4945893591613440,5846668555583488,5.30769230769231,6.84615384615385,6.23076923076923,13,179.011172835664
"34",34,"bread",4960131072655360,4809963576754176,5.69230769230769,6.61538461538461,6.15384615384615,13,66.4830805543786
"35",35,"bread",4978898532040704,5972817654841344,3.14285714285714,6.57142857142857,4.85714285714286,7,154.466824917197
"36",36,"bread",4993213125361664,5672293961302016,4.625,6.5,5.625,8,65.6201188660917
"37",37,"bread",4997464316706816,6420443571421184,3.56785714285715,6.14285714285714,5,7,36.7151195013716
