trial_ID,category,key_id_1,key_id_2,hd_sim,hd_bin
1,bread,5.62373E+15,6.53657E+15,52.69724851,1
2,bread,6.66949E+15,5.94875E+15,48.66210024,1
3,bread,4.51218E+15,6.3344E+15,35.11409973,1
4,bread,4.6739E+15,4.98889E+15,43.18564576,1
5,bread,5.25924E+15,6.52691E+15,41.23105626,1
6,bread,5.7227E+15,5.91772E+15,37.44329045,1
7,bread,5.65159E+15,4.85902E+15,51.85556865,1
8,bread,6.13821E+15,6.52691E+15,42.94182111,1
9,bread,4.80664E+15,4.68517E+15,48.82622246,1
10,bread,6.44579E+15,6.32199E+15,52.43090692,1
11,bread,5.1138E+15,6.5319E+15,43.38202393,1
12,bread,4.51742E+15,5.17146E+15,52.20153254,1
13,bread,5.482E+15,6.38286E+15,49.04079934,1
14,bread,6.70224E+15,6.69095E+15,43.41658669,1
15,bread,6.29543E+15,5.21626E+15,51.85556865,1
16,bread,6.70362E+15,6.11295E+15,34.78505426,1
17,bread,5.5441E+15,5.88945E+15,53.33854141,1
18,bread,4.99746E+15,6.42044E+15,36.7151195,1
19,bread,5.01541E+15,5.88945E+15,38.01315562,1
20,bread,5.16572E+15,5.84845E+15,41.30375286,1
21,bread,5.9283E+15,6.51159E+15,59.00847397,2
22,bread,5.77528E+15,5.20591E+15,64.19501538,2
23,bread,5.55612E+15,4.90316E+15,60.20797289,2
24,bread,5.35763E+15,4.77249E+15,60.41522987,2
25,bread,6.01785E+15,6.21561E+15,56.56854249,2
26,bread,5.59085E+15,5.56522E+15,58.24087911,2
27,bread,4.99321E+15,5.67229E+15,65.62011887,2
28,bread,5.0159E+15,5.9451E+15,56.5154846,2
29,bread,5.82924E+15,5.97809E+15,56.32051136,2
30,bread,5.38372E+15,4.83827E+15,62.62587325,2
31,bread,6.74765E+15,6.74965E+15,61.6116872,2
32,bread,6.06065E+15,4.90573E+15,55.32630477,2
33,bread,4.96013E+15,4.80996E+15,66.48308055,2
34,bread,5.34784E+15,5.2029E+15,62.48199741,2
35,bread,6.40712E+15,5.86601E+15,56.08029957,2
36,bread,4.93722E+15,6.31444E+15,55.1724569,2
37,bread,6.25445E+15,5.35727E+15,65.94694838,2
38,bread,6.74445E+15,5.73918E+15,65.03076195,2
39,bread,4.70697E+15,6.67939E+15,58.03447251,2
40,bread,4.92569E+15,6.10077E+15,55.15432893,2
41,bread,4.65605E+15,6.30353E+15,67.06713055,3
42,bread,5.74487E+15,6.70754E+15,67.11929678,3
