google_category_name,exclude,exclusion reason,category
bandage,0,,A
baseball,0,,A
basket,0,,A
basketball,0,,A
bathtub,0,,A
beach,0,,A
book,0,,A
boomerang,0,,A
bottlecap,0,,A
bucket,0,,A
calculator,0,,A
calendar,0,,A
camera,0,,A
campfire,0,,A
candle,0,,A
cannon,0,,A
castle,0,,K
chandelier,0,,A
clock,0,,A
computer,0,,A
cooler,0,,A
crayon,0,,A
cup,0,,A
diamond,0,,A
dishwasher,0,,A
donut,0,,A
dresser,0,,A
dumbbell,0,,A
envelope,0,,A
eraser,0,,A
eyeglasses,0,,A
fan,0,,A
feather,0,,A
headphones,0,,A
hourglass,0,,A
key,0,,A
keyboard,0,,A
laptop,0,,A
mailbox,0,,A
map,0,,A
marker,0,,A
megaphone,0,,A
microphone,0,,A
microwave,0,,A
mug,0,,A
oven,0,,A
parachute,0,,A
passport,0,,A
pillow,0,,A
postcard,0,,A
radio,0,,A
sink,0,,A
skull,0,,A
snorkel,0,,A
snowman,0,,A
stereo,0,,A
stitches,0,,A
stove,0,,A
streetlight,0,,A
suitcase,0,,A
syringe,0,,A
teapot,0,,A
telephone,0,,A
television,0,,A
tent,0,,A
toaster,0,,A
toilet,0,,A
toothbrush,0,,A
toothpaste,0,,A
vase,0,,A
waterslide,0,,A
wheel,0,,A
windmill,0,,A
angel,0,,A
mermaid,0,,A
spreadsheet,0,,A
knee,0,,B
leg,0,,B
mouth,0,,B
nose,0,,B
toe,0,,B
tooth,0,,B
arm,0,,B
brain,0,,B
ear,0,,B
elbow,0,,B
eye,0,,B
face,0,,B
finger,0,,B
foot,0,,B
hand,0,,B
apple,0,,F
asparagus,0,,F
banana,0,,F
blackberry,0,,F
blueberry,0,,F
bread,0,,F
broccoli,0,,F
cake,0,,F
carrot,0,,F
cookie,0,,F
grapes,0,,F
hamburger,0,,F
lollipop,0,,F
onion,0,,F
peanut,0,,F
pear,0,,F
peas,0,,F
pineapple,0,,F
pizza,0,,F
potato,0,,F
sandwich,0,,F
steak,0,,F
strawberry,0,,F
tree,0,,F
watermelon,0,,F
bed,0,,F
bench,0,,F
chair,0,,F
couch,0,,F
door,0,,F
table,0,,F
popsicle,0,,F
fireplace,0,,F
stairs,0,,F
cello,0,,I
clarinet,0,,I
guitar,0,,I
harp,0,,I
piano,0,,I
saxophone,0,,I
trombone,0,,I
trumpet,0,,I
violin,0,,I
drums,0,,I
barn,0,,K
bridge,0,,K
church,0,,K
fence,0,,A
garden,0,,K
hospital,0,,K
house,0,,K
jail,0,,K
lighthouse,0,,K
pond,0,,K
pool,0,,K
skyscraper,0,,K
anvil,0,,L
axe,0,,L
drill,0,,L
ladder,0,,A
nail,0,,L
pencil,0,,L
pliers,0,,L
rake,0,,L
rifle,0,,L
scissors,0,,L
screwdriver,0,,L
shovel,0,,L
umbrella,0,,L
binoculars,0,,L
broom,0,,L
compass,0,,L
flashlight,0,,L
fork,0,,L
hammer,0,,L
knife,0,,L
lantern,0,,L
lighter,0,,L
matches,0,,L
paintbrush,0,,L
saw,0,,L
spoon,0,,L
stethoscope,0,,A
sword,0,,L
cloud,0,,M
hurricane,0,,M
lightning,0,,M
moon,0,,M
mountain,0,,M
ocean,0,,M
rain,0,,M
rainbow,0,,M
river,0,,M
snowflake,0,,M
sun,0,,M
tornado,0,,M
ant,0,,N
bear,0,,N
bee,0,,N
bird,0,,N
bush,0,,N
butterfly,0,,N
cactus,0,,N
camel,0,,N
cat,0,,N
cow,0,,N
crab,0,,N
crocodile,0,,N
dog,0,,N
dolphin,0,,N
dragon,0,,N
duck,0,,N
elephant,0,,N
fish,0,,N
flamingo,0,,N
frog,0,,N
giraffe,0,,N
horse,0,,N
kangaroo,0,,N
lobster,0,,N
monkey,0,,N
mosquito,0,,N
mouse,0,,N
mushroom,0,,N
octopus,0,,N
owl,0,,N
panda,0,,N
parrot,0,,N
penguin,0,,N
pig,0,,N
rabbit,0,,N
raccoon,0,,N
rhinoceros,0,,N
scorpion,0,,N
shark,0,,N
sheep,0,,N
snail,0,,N
snake,0,,N
spider,0,,N
squirrel,0,,N
swan,0,,N
tiger,0,,N
whale,0,,N
zebra,0,,N
flower,0,,N
grass,0,,N
lion,0,,N
leaf,0,,N
hedgehog,0,,N
camouflage,1,,baditem
yoga,1,,baditem
zigzag,0,,S
octagon,0,,S
square,0,,S
squiggle,0,,S
star,0,,S
triangle,0,,S
hexagon,0,,S
line,0,,S
circle,0,,S
airplane,0,,T
ambulance,0,,T
bicycle,0,,T
bulldozer,0,,T
bus,0,,T
canoe,0,,T
car,0,,T
firetruck,0,,T
helicopter,0,,T
rollerskates,0,,T
sailboat,0,,T
skateboard,0,,T
speedboat,0,,T
submarine,0,,T
train,0,,T
truck,0,,T
van,0,,T
tractor,0,,T
backpack,0,,W
belt,0,,W
bowtie,0,,W
bracelet,0,,W
crown,0,,W
hat,0,,W
helmet,0,,W
jacket,0,,W
lipstick,0,,W
necklace,0,,W
pants,0,,W
purse,0,,W
shoe,0,,W
shorts,0,,W
sock,0,,W
sweater,0,,W
underwear,0,,W
wristwatch,0,,W
beard,0,,W
goatee,0,,W
moustache,0,,W
motorbike,1,2words,
paper clip,1,2words,
flip flops,1,2words,
golf club,1,2words,
ice cream,1,2words,
paint can,1,2words,
sea turtle,1,2words,
see saw,1,2words,
tennis racquet,1,2words,
aircraft carrier,1,2words,
alarm clock,1,2words,
animal migration,1,2words,
baseball bat,1,2words,
bat,1,synonym,
birthday cake,1,2words,
ceiling fan,1,2words,
cell phone,1,2words,
coffee cup,1,2words,
cruise ship,1,2words,
diving board,1,2words,
fire hydrant,1,2words,
floor lamp,1,2words,
flying saucer,1,2words,
frying pan,1,2words,
garden hose,1,2words,
hockey puck,1,2words,
hockey stick,1,2words,
hot air balloon,1,2words,
hot dog,1,2words,
hot tub,1,2words,
house plant,1,2words,
light bulb,1,2words,
palm tree,1,2words,
pickup truck,1,2words,
picture frame,1,2words,
police car,1,2words,
power outlet,1,2words,
remote control,1,2words,
roller coaster,1,2words,
school bus,1,2words,
sleeping bag,1,2words,
smiley face,1,2words,
soccer ball,1,2words,
stop sign,1,2words,
string bean,1,2words,
swing set,1,2words,
teddy-bear,1,2words,
The Eiffel Tower,1,2words,
The Great Wall of China,1,2words,
The Mona Lisa,1,2words,
traffic light,1,2words,
t-shirt,1,2words,
washing machine,1,2words,
wine bottle,1,2words,
wine glass,1,2words,
